pathway_a	pathway_b	n_both_lof	p1_only_lof	p2_only_lof	neither_lof	odds_ratio_lof	p_value_lof	q_value_bh_lof	n_both_wt	p1_only_wt	p2_only_wt	neither_wt	odds_ratio_wt	p_value_wt	q_value_bh_wt	odds_ratio_diff
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_APICAL_JUNCTION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_APOPTOSIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_COMPLEMENT	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_DNA_REPAIR	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_E2F_TARGETS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_GLYCOLYSIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_HYPOXIA	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_MITOTIC_SPINDLE	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_MYOGENESIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_APOPTOSIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_COMPLEMENT	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_DNA_REPAIR	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_E2F_TARGETS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_GLYCOLYSIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_HYPOXIA	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_MITOTIC_SPINDLE	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_MYOGENESIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APICAL_JUNCTION	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_COMPLEMENT	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_DNA_REPAIR	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_E2F_TARGETS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_GLYCOLYSIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_HYPOXIA	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_MITOTIC_SPINDLE	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_MYOGENESIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_APOPTOSIS	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_DNA_REPAIR	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_E2F_TARGETS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_GLYCOLYSIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_HYPOXIA	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_MITOTIC_SPINDLE	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_MYOGENESIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_COMPLEMENT	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_E2F_TARGETS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_GLYCOLYSIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_HYPOXIA	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_MITOTIC_SPINDLE	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_MYOGENESIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_DNA_REPAIR	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_GLYCOLYSIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_HYPOXIA	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_MITOTIC_SPINDLE	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_MYOGENESIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_E2F_TARGETS	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_HYPOXIA	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_MITOTIC_SPINDLE	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_MYOGENESIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_GLYCOLYSIS	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_MITOTIC_SPINDLE	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_MYOGENESIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_HYPOXIA	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MYOGENESIS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MYOGENESIS	HALLMARK_P53_PATHWAY	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MYOGENESIS	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MYOGENESIS	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MYOGENESIS	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MYOGENESIS	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MYOGENESIS	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_MYOGENESIS	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_P53_PATHWAY	HALLMARK_PANCREAS_BETA_CELLS	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_P53_PATHWAY	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_P53_PATHWAY	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_P53_PATHWAY	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_P53_PATHWAY	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PROTEIN_SECRETION	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PROTEIN_SECRETION	HALLMARK_TGF_BETA_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PROTEIN_SECRETION	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PROTEIN_SECRETION	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_PROTEIN_SECRETION	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_UV_RESPONSE_DN	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_UP	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_UV_RESPONSE_DN	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
HALLMARK_UV_RESPONSE_UP	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0		1.0	1.0	0	0	0	0		1.0	1.0	
